shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2023011704182,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2023011704392,2046,47729,Bunigeulis,45556,Penkase Oeleta,85231,2,3,REG23,,
TRD2023011705871,2758,65988,Pekayon Jaya,17148,Klademak,98416,2,4,REG23,,
TRD2023011803281,2758,86407,Pekayon Jaya,17148,Sukaharja,78813,3,5,REG23,,
TRD2023011803781,85513,14485,Kerobokan Kelod,80117,Ngalukoja,86381,5,6,REG23,,
TRD2023011804511,2046,65988,Bunigeulis,45556,Klademak,98416,2,4,REG23,,
TRD2023011808798,2758,84537,Pekayon Jaya,17148,Kladufu,98418,2,4,REG23,,
TRD2023011904349,85513,25075,Kerobokan Kelod,80117,Embu Ngena,86319,2,3,REG23,,
TRD2023011904614,2758,47729,Pekayon Jaya,17148,Penkase Oeleta,85231,2,3,REG23,,
TRD2023012003458,49964,16290,Grogol,11450,Wana Sari,75655,5,7,REG23,,
TRD2023012003948,85513,68149,Kerobokan Kelod,80117,Hewuli,86115,5,6,REG23,,
TRD2023012004635,2046,60010,Bunigeulis,45556,Seteluk Atas,84454,10,1,REG23,,
TRD2023012105678,2758,46636,Pekayon Jaya,17148,Ahusen,97127,2,3,REG23,,
TRD2023012305093,85860,84682,Sukodadi,30154,Susunan Baru,35116,1,2,REG23,,
TRD2023012305414,2758,25075,Pekayon Jaya,17148,Embu Ngena,86319,3,5,REG23,,
TRD2023012404673,2758,2059,Pekayon Jaya,17148,Gunung Jati,93125,2,3,REG23,,
TRD2023012404716,2758,65988,Pekayon Jaya,17148,Klademak,98416,2,4,REG23,,
TRD2023012405108,85513,12651,Kerobokan Kelod,80117,Faobata,86419,2,3,REG23,,
TRD2023012504421,85513,47729,Kerobokan Kelod,80117,Penkase Oeleta,85231,1,2,REG23,,
TRD2023012506023,2046,40010,Bunigeulis,45556,Namaelo,97511,3,5,REG23,,
TRD2023012506025,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506038,2046,5037,Bunigeulis,45556,Sereh,99352,4,6,REG23,,
TRD2023012506059,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506085,2046,48250,Bunigeulis,45556,Sawangan,95371,5,7,REG23,,
TRD2023012506087,2046,31193,Bunigeulis,45556,Tumbang Lahang,74454,5,7,REG23,,
TRD2023012506098,2046,468,Bunigeulis,45556,Patam Lestari,29427,2,3,REG23,,
TRD2023012506100,2046,11616,Bunigeulis,45556,Baloi Permai,29431,2,3,REG23,,
TRD2023012506115,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506158,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
TRD2023012506159,2046,5037,Bunigeulis,45556,Sereh,99352,4,6,REG23,,
TRD2023012506175,2046,65915,Bunigeulis,45556,Rumah Tiga,97234,2,3,REG23,,
TRD2023012506191,2046,461,Bunigeulis,45556,Mangsang (Mangsa),29437,2,3,REG23,,
TRD2023012506280,2046,6151,Bunigeulis,45556,Skow Mabo (Skouw Mabo ),99351,2,4,REG23,,
