created_at,shipment_order_no,awb_number,status,logistic_id,dispatch_at,delivered_at,in_process_return,return_at
2023-07-03 11:54:58,TRD2023070304098,IDE702806655822,501,24,1688414094,0,0,0
2023-07-03 11:54:58,TRD2023070304057,IDE702634338024,400,24,1688414131,0,0,0
2023-07-03 11:54:58,TRD2023070304343,IDE702989391015,501,24,1688414128,0,0,0
2023-07-03 11:54:58,TRD2023070304240,IDE702526970024,400,24,1688414099,0,0,0
2023-07-03 11:54:58,TRD2023070304353,IDE703569287579,400,24,1688414120,0,0,0
2023-07-03 11:54:58,TRD2023070304393,IDE700219861253,400,24,1688414121,0,0,0
2023-07-03 11:54:58,TRD2023070304498,IDE700888359124,400,24,1688414098,0,0,0
2023-07-03 11:54:58,TRD2023070304084,IDE700721297236,400,24,1688414130,0,0,0
2023-07-03 11:54:58,TRD2023070304489,IDE703460453974,400,24,1688414898,0,0,0
2023-07-03 11:54:58,TRD2023070304331,IDE700766558606,500,24,1688414122,1688645042,0,0
2023-07-03 11:54:58,TRD2023070304115,IDE700257370201,500,24,1688414093,1688622776,0,0
2023-07-03 11:54:58,TRD2023070304145,IDE703924798133,400,24,1688414096,0,0,0
2023-07-03 11:54:58,TRD2023070304422,IDE701097941346,501,24,1688414131,0,0,0
2023-07-03 11:54:58,TRD2023070304237,IDE702146771965,602,24,1688414128,0,0,0
2023-07-03 11:54:58,TRD2023070303914,IDE704156504728,400,24,1688414132,0,0,0
2023-07-03 11:54:58,TRD2023070304056,IDE704110768441,400,24,1688650160,0,0,0
2023-07-03 11:54:58,TRD2023070303960,IDE702045614660,501,24,1688414899,0,0,0
2023-07-03 11:54:58,TRD2023070304062,IDE700426927625,500,24,1688414099,1688638159,0,0
2023-07-03 11:54:58,TRD2023070304114,IDE700965318448,400,24,1688414901,0,0,0
2023-07-03 11:54:58,TRD2023070304292,IDE701455075239,501,24,1688414117,0,0,0
2023-07-03 11:54:58,TRD2023070304037,IDE701724334779,400,24,1688414907,0,0,0
2023-07-03 11:54:58,TRD2023070304293,IDE700871836775,400,24,1688414117,0,0,0
2023-07-03 11:54:58,TRD2023070303953,IDE702477719349,500,24,1688414901,1688636563,0,0
2023-07-03 11:54:58,TRD2023070304019,IDE702270188619,400,24,1688414907,0,0,0
2023-07-03 11:54:58,TRD2023070304412,IDE701507521734,500,24,1688414901,1688615610,0,0
2023-07-03 11:54:58,TRD2023070304094,IDE702451044478,500,24,1688414115,1688612655,0,0
2023-07-03 11:54:58,TRD2023070304153,IDE703671717271,400,24,1688414095,0,0,0
2023-07-03 11:54:58,TRD2023070303972,IDE702615641255,500,24,1688414902,1688618833,0,0
