Id,provinceId,Pulau,provinceName,typeLabel,cityName,Daerah,Latitude,Longitude,postalCode,regionWage,population,marketValue,probability
81,15,Kalimantan,Kalimantan Timur,Kabupaten,Kutai Kartanegara,Kabupaten Kutai Kartanegara,-0.214494,116.959885,75511,3394513,778096,2644574606288,0.00865
82,15,Kalimantan,Kalimantan Timur,Kabupaten,Kutai Timur,Kabupaten Kutai Timur,-1.81616,117.614852,75683,3356109,425787,1428721936583,0.00467
83,15,Kalimantan,Kalimantan Timur,Kabupaten,Paser,Kabupaten Paser,-1.701166,116.322919,76271,3261566,296582,966392156212,0.00316
84,15,Kalimantan,Kalimantan Timur,Kabupaten,Penajam Paser Utara,Kabupaten Penajam Paser Utara,-1.180361,116.441559,76143,3500000,191967,672992700000,0.00220
85,15,Kalimantan,Kalimantan Timur,Kota,Samarinda,Kota Samarinda,-0.502106,117.153709,75111,3329199,849717,2826602439083,0.00924
86,15,Kalimantan,Kalimantan Timur,Kabupaten,Mahakam Ulu,Kabupaten Mahakam Ulu,0.876392,115.360651,75765,3553038,37318,132563144284,0.00043
87,16,Kalimantan,Kalimantan Utara,Kabupaten,Bulungan,Kabupaten Bulungan (Bulongan),2.890445,117.986957,77211,3362895,153558,515883378610,0.00169
88,16,Kalimantan,Kalimantan Utara,Kabupaten,Malinau,Kabupaten Malinau,3.305826,116.65365,77554,3494498,81925,286026570850,0.00094
89,16,Kalimantan,Kalimantan Utara,Kabupaten,Nunukan,Kabupaten Nunukan,4.214028,117.690647,77482,3319134,194119,643661428546,0.00210
90,16,Kalimantan,Kalimantan Utara,Kabupaten,Tana Tidung,Kabupaten Tana Tidung,3.459778,117.59843,77152,3370205,26508,89300059640,0.00029
91,16,Kalimantan,Kalimantan Utara,Kota,Tarakan,Kota Tarakan,3.300009,117.61851,77111,4055356,241893,981937520932,0.00321
92,17,Sumatera,Kepulauan Riau,Kota,Batam,Kota Batam,1.045626,104.030454,29427,4500440,1196396,5385956001184,0.01761
93,17,Sumatera,Kepulauan Riau,Kabupaten,Bintan,Kabupaten Bintan,1.138098,104.429359,29111,3899015,159518,622080091470,0.00203
94,17,Sumatera,Kepulauan Riau,Kabupaten,Karimun,Kabupaten Karimun,0.903537,103.401594,29662,3592019,253457,910647094783,0.00298
95,17,Sumatera,Kepulauan Riau,Kabupaten,Kepulauan Anambas,Kabupaten Kepulauan Anambas,3.117331,106.564835,29792,3757560,47402,178156570120,0.00058
96,17,Sumatera,Kepulauan Riau,Kabupaten,Lingga,Kabupaten Lingga,0.03634,104.6591,29875,3279194,98633,323296215102,0.00106
97,17,Sumatera,Kepulauan Riau,Kabupaten,Natuna,Kabupaten Natuna,4.115287,108.146791,29783,3337603,81495,271881162585,0.00089
98,17,Sumatera,Kepulauan Riau,Kota,Tanjung Pinang,Kota Tanjung Pinang,0.903739,104.520442,29111,3279194,239854,786850024676,0.00257
99,18,Sumatera,Lampung,Kota,Bandar Lampung,Kota Bandar Lampung,-5.427139,105.257972,35111,2991349,1209937,3622322818113,0.01184
100,18,Sumatera,Lampung,Kabupaten,Lampung Barat,Kabupaten Lampung Barat,-5.032711,104.102607,34811,2726426,303397,827399344,0.00000
101,18,Sumatera,Lampung,Kabupaten,Lampung Selatan,Kabupaten Lampung Selatan,-5.51985,104.939981,35592,2861097,1081115,3098572063055,0.01013
102,18,Sumatera,Lampung,Kabupaten,Lampung Tengah,Kabupaten Lampung Tengah,-4.884785,105.198391,34157,2637161,1500022,3955470638742,0.01293
103,18,Sumatera,Lampung,Kabupaten,Lampung Timur,Kabupaten Lampung Timur,-5.118196,105.708374,34194,2633284,1127946,2974393897184,0.00972
104,18,Sumatera,Lampung,Kabupaten,Lampung Utara,Kabupaten Lampung Utara,-4.975167,105.25509,34511,2656089,635129,1688602713081,0.00552
105,18,Sumatera,Lampung,Kabupaten,Mesuji,Kabupaten Mesuji,-4.003371,105.39169,34684,2873227,232685,668938416395,0.00219
106,18,Sumatera,Lampung,Kota,Metro,Kota Metro,-5.113594,105.305088,34111,2642290,171169,452228572710,0.00148
107,18,Sumatera,Lampung,Kabupaten,Pesawaran,Kabupaten Pesawaran,-5.487725,105.119718,35367,2633284,487153,1281865123652,0.00419
